Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
lh_posteriorcingulate <-> rh_rostralmiddlefrontal,2.477506657921507e-09,5.941948023916907e-11,5.1588085443862935e-09,0.003919798846009812
lh_parahippocampal <-> rh_frontalpole,2.4736901865212582e-09,-2.947839026562046e-11,1.552946461541924e-08,-0.0011546810992587816
left_ventraldc <-> rh_lateraloccipital,2.47220863838698e-09,2.6384125679075116e-11,4.456014996844344e-09,0.0018251313162607123
lh_isthmuscingulate <-> rh_superiorfrontal,2.4637315601715643e-09,-4.955892941137797e-11,5.121382454565209e-09,-0.0032774073111559924
rh_entorhinal <-> right_hippocampus,2.460838549496599e-09,6.087079637676625e-11,4.653417225431437e-09,0.004154034205149307
lh_inferiortemporal <-> rh_parsorbitalis,2.457987607209525e-09,-1.6591336810457225e-10,1.714536255082007e-08,-0.006112033604044089
csf <-> right_cerebellum_white_matter,2.450403034539234e-09,-4.7455736219571815e-11,8.770892121251519e-09,-0.0025281556099214205
cc_central <-> lh_isthmuscingulate,2.449337358818449e-09,-8.231320909939729e-11,8.506185058223382e-09,-0.004447875607016084
lh_precuneus <-> rh_supramarginal,2.4383736471487478e-09,7.133716006593998e-13,3.774640238848971e-09,5.178876459128563e-05
lh_parstriangularis <-> rh_cuneus,2.4355474434581966e-09,-1.2517951253177214e-10,1.2935956582711383e-08,-0.005457784683204785
left_hippocampus <-> rh_fusiform,2.4331209320319495e-09,-1.8892180637198356e-10,1.9523037239301426e-08,-0.006399131798014621
rh_entorhinal <-> right_accumbens_area,2.430694079970983e-09,9.363834485160392e-11,9.67651606064419e-09,0.004758888441582086
lh_parsorbitalis <-> rh_cuneus,2.428831489323307e-09,-1.431701139664981e-10,1.4795091790618591e-08,-0.0057741312343383856
lh_lingual <-> rh_middletemporal,2.423723245907029e-09,6.86198423925285e-11,5.014171805513037e-09,0.004570338163263328
left_hippocampus <-> rh_inferiortemporal,2.4136482076418556e-09,-1.908742607166674e-10,1.972480240136135e-08,-0.006421380305220319
lh_caudalanteriorcingulate <-> rh_caudalmiddlefrontal,2.3809591967595937e-09,2.4913403341984138e-11,2.5745323451206524e-09,0.001981258837959997
lh_superiorparietal <-> right_thalamus,2.3788869880212424e-09,5.612938994158782e-11,4.164081457769959e-09,0.003962797736580161
