ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
lh_supramarginal_Volume,1.14641422258276e-06,-2.6923844634166356e-05,0.0006158440135177456,-0.043717900741407696,-2.3e-05,-5.5e-05,-3e-05,3.2e-05
right_vessel_Thickness,1.139432408328932e-06,-2.2719264771023673e-06,5.37341540679967e-05,-0.0422729972496719,-0.0,0.0,-9e-06,-0.0
third_ventricle_Thickness,1.0426355405566317e-06,-8.401046096118802e-06,0.00020018492368070607,-0.04196433127104541,-0.0,1.6e-05,-4.3e-05,-1.6e-05
rh_lateralorbitofrontal_Thickness,9.71077310175579e-07,2.7333839891534228e-05,0.0004727184081408171,0.057821445508288515,1.3e-05,1e-05,7.8e-05,3e-06
lh_paracentral_Surface_Area,8.989095972486957e-07,-3.9035112797123495e-06,9.461383123958939e-05,-0.04125294049686683,-3e-06,-2e-05,0.0,1.7e-05
lh_posteriorcingulate_Surface_Area,8.395424499829372e-07,-3.4799556246145945e-06,6.823900044930427e-05,-0.050989107557692724,-3e-06,-1.3e-05,0.0,1e-05
lh_transversetemporal_Volume,8.276879482045604e-07,-2.9706961112005344e-06,9.7961943184379e-05,-0.030321906605545342,-3e-06,-2e-05,2e-06,1.8e-05
rh_posteriorcingulate_Surface_Area,8.272621239774118e-07,3.434316120424381e-06,7.115382411599193e-05,0.04825929695440049,4e-06,1.2e-05,0.0,-8e-06
right_choroid_plexus_Thickness,8.01330946054709e-07,-7.875517373887146e-06,0.00020188436294336953,-0.03900810928582584,-1e-06,2e-06,-3.2e-05,-3e-06
rh_lateraloccipital_Volume,7.505536756370555e-07,-6.145609370420804e-07,2.2813411002558728e-05,-0.026926778691107215,0.0,0.0,-3e-06,0.0
rh_paracentral_Thickness,7.301322358635547e-07,1.1725321565562866e-05,0.0004318539257222655,0.02715050011633409,-5e-06,1.4e-05,6.5e-05,-1.9e-05
right_ventraldc_Thickness,7.232858823296877e-07,-1.1870950429477077e-05,0.00026879543610495266,-0.04416186890224263,-2e-06,0.0,-4.8e-05,-2e-06
left_putamen_Thickness,7.09089670819819e-07,-1.112297573949826e-07,2.739053709795391e-06,-0.04046110739802945,-0.0,0.0,-0.0,-0.0
right_putamen_Thickness,6.776823706258688e-07,3.711869017995392e-07,8.464889099555373e-06,0.04379843764787591,0.0,0.0,1e-06,0.0
lh_precuneus_Surface_Area,6.744278528386848e-07,-3.1904324442052284e-06,0.00010123827016235184,-0.031510982252727505,-2e-06,-2.4e-05,0.0,2.3e-05
rh_bankssts_Thickness,6.704183870033546e-07,4.413946660772692e-06,0.0005775350222220583,0.007642601859488607,-9e-06,4.3e-05,3.4e-05,-5.3e-05
rh_superiorparietal_Surface_Area,6.620541763140012e-07,3.896720426134008e-06,0.00019052099710964785,0.020451897514038104,2e-06,3.3e-05,0.0,-3.1e-05
rh_unknown_Thickness,6.46783755417189e-07,-3.8589997022379585e-06,7.855107350613323e-05,-0.04912101540894408,-1e-06,-2e-06,-1.2e-05,0.0
lh_inferiorparietal_Surface_Area,6.332331333928114e-07,1.0023292314090282e-05,0.000448521721759881,0.022346897282453964,-2e-06,-2.1e-05,6e-05,1.9e-05
cc_central_Thickness,5.979328746567323e-07,-9.192329803789087e-07,2.6805966530963447e-05,-0.0342793156203228,-1e-06,0.0,-1e-06,-1e-06
lh_paracentral_Volume,5.84275758807693e-07,-5.133636323046218e-06,0.0006637049608190118,-0.007734700324837348,4e-06,8.3e-05,-6.4e-05,-7.9e-05
lh_superiorparietal_Surface_Area,5.419973914125849e-07,-6.012141418753171e-06,0.00019275020331206038,-0.03118974412482896,-4e-06,-3.7e-05,0.0,3.2e-05
