Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
lh_parstriangularis <-> rh_fusiform,1.4053119611595007e-06,-1.106810715042529e-07,8.087295562017654e-06,-0.013668893602381214,0.0,0.0,-0.0,0.0
left_inf_lat_vent <-> rh_temporalpole,1.404204402356112e-06,8.275673645356677e-08,8.036840543807465e-06,0.010284376334169208,0.0,-1e-06,0.0,1e-06
cc_posterior <-> right_pallidum,1.4030593464827716e-06,6.2028615066628165e-09,4.532335443889949e-07,0.013390354782800524,0.0,0.0,0.0,0.0
left_thalamus <-> rh_entorhinal,1.4019639742271173e-06,1.4570959604596842e-08,2.984582134511618e-06,0.004865773904369198,0.0,0.0,-0.0,0.0
lh_parahippocampal <-> rh_caudalmiddlefrontal,1.4013779299047668e-06,3.961588296991745e-08,2.798325593740514e-06,0.014106584741533326,0.0,0.0,0.0,0.0
lh_frontalpole <-> rh_lateraloccipital,1.400796834323625e-06,-2.2431542967840305e-08,4.5444155287443815e-06,-0.004925229774549033,-0.0,0.0,0.0,-0.0
lh_superiorparietal <-> rh_parahippocampal,1.4002957252248396e-06,-5.729110281014543e-08,9.336569200168508e-06,-0.006129639826463012,0.0,0.0,-1e-06,0.0
fourth_ventricle <-> lh_unknown,1.39899728017465e-06,-1.6312893176597827e-08,1.191957999663008e-06,-0.013571932780655781,0.0,0.0,-0.0,0.0
lh_lingual <-> rh_paracentral,1.3985884912601542e-06,-3.2925037139443956e-07,2.0528780676922424e-05,-0.01603066786551689,0.0,0.0,-1e-06,0.0
right_hippocampus <-> right_pallidum,1.3917017892030965e-06,-1.4164817494258543e-07,1.0400435326347912e-05,-0.013606364239551649,0.0,0.0,-1e-06,0.0
rh_medialorbitofrontal <-> rh_posteriorcingulate,1.3911280404315906e-06,9.569186168550147e-09,6.992057068228028e-07,0.01349282172505281,0.0,0.0,0.0,0.0
left_lateral_ventricle <-> rh_inferiortemporal,1.3890211847139877e-06,1.6816381813281596e-07,9.272487415472945e-06,0.018116245205191908,0.0,0.0,1e-06,0.0
cc_mid_anterior <-> lh_supramarginal,1.3857278846420542e-06,-1.0843512236772014e-08,3.5240008753348376e-06,-0.0030683388655767152,-0.0,0.0,0.0,-0.0
rh_corpuscallosum <-> rh_precentral,1.3850081698055124e-06,7.499095837521098e-09,5.479473921030757e-07,0.013440507014926075,0.0,0.0,0.0,0.0
lh_parsopercularis <-> right_inf_lat_vent,1.3842791134024158e-06,8.858258413366297e-08,4.878630766584046e-06,0.018120121637977677,0.0,0.0,0.0,0.0
rh_transversetemporal <-> right_cerebellum_white_matter,1.3828434116357052e-06,-6.082341025510632e-09,3.385029735934297e-07,-0.017452766508117112,-0.0,0.0,0.0,-0.0
lh_lingual <-> right_cerebellum_cortex,1.382623879371511e-06,-6.468754701232642e-08,4.726619509194884e-06,-0.013656901696822554,0.0,0.0,-0.0,0.0
rh_postcentral <-> rh_superiorparietal,1.3815197323654755e-06,1.971563475574053e-08,1.8719222338177308e-06,0.010476328087024473,-0.0,0.0,0.0,-0.0
rh_inferiorparietal <-> right_pallidum,1.379401889134352e-06,2.3076920408218373e-08,1.0699403114022497e-06,0.021368699885139134,0.0,0.0,0.0,0.0
left_pallidum <-> lh_parstriangularis,1.3769967518555008e-06,-1.0651584192744216e-07,6.283104250801935e-06,-0.016925802860149466,-0.0,0.0,-0.0,-0.0
lh_corpuscallosum <-> rh_inferiortemporal,1.3765878103366506e-06,1.6135452463455527e-08,1.1789926798263474e-06,0.013570691171801087,0.0,0.0,0.0,0.0
rh_superiorfrontal <-> rh_supramarginal,1.3763117054581977e-06,1.461261960552231e-07,6.9343369674490916e-06,0.021042497900112787,0.0,0.0,1e-06,0.0
cc_posterior <-> lh_fusiform,1.3758939401375667e-06,-1.942979499738592e-08,1.4221484412058165e-06,-0.013566886251698006,0.0,0.0,-0.0,-0.0
left_amygdala <-> rh_entorhinal,1.3743194120095463e-06,-5.831377782581168e-08,4.340250201052935e-06,-0.01340469516252132,0.0,0.0,-0.0,0.0
right_cerebellum_white_matter <-> right_putamen,1.374021817167893e-06,-1.770729393731412e-07,1.0659188269349537e-05,-0.01659666461054368,-0.0,0.0,-1e-06,-0.0
